order_id;order_date;customer_id;city;sales_channel;product_name;category;quantity;unit_price;unit_cost;discount_pct;shipping_fee;gross_revenue;discount_amount;net_revenue;profit
O00715;2025-01-14;C0314;Aktobe;Social Media;USB-C Cable;Electronics;3;9,9;3,2;0;2,99;29,7;0,0;32,69;23,09
O01137;2025-01-14;C0096;Astana;Organic;Mechanical Keyboard;Electronics;2;79,9;38,0;0;6,99;159,8;0,0;166,79;90,79
O00642;2025-01-15;C0018;Atyrau;Social Media;Yoga Mat;Sports;2;26,9;9,7;0;2,99;53,8;0,0;56,79;37,39
O00947;2025-01-15;C0126;Shymkent;Email;Laptop Stand;Office;1;34,9;14,0;0;2,99;34,9;0,0;37,89;23,89
O00222;2025-01-16;C0074;Aktobe;Email;Desk Lamp;Home;2;29,9;11,8;10;2,99;59,8;5,98;56,81;33,21
O00921;2025-01-16;C0051;Atyrau;Organic;Notebook Set;Office;2;12,5;4,1;0;2,99;25,0;0,0;27,99;19,79
O01031;2025-01-16;C0227;Astana;Organic;Yoga Mat;Sports;4;26,9;9,7;5;4,99;107,6;5,38;107,21;68,41
O00146;2025-01-17;C0190;Astana;Email;Yoga Mat;Sports;2;26,9;9,7;20;4,99;53,8;10,76;48,03;28,63
O00293;2025-01-17;C0339;Karaganda;Referral;Laptop Stand;Office;4;34,9;14,0;10;0;139,6;13,96;125,64;69,64
O00816;2025-01-18;C0038;Almaty;Referral;Mechanical Keyboard;Electronics;4;79,9;38,0;10;0;319,6;31,96;287,64;135,64
O00215;2025-01-19;C0332;Astana;Social Media;Coffee Mug;Home;5;11,9;3,9;5;4,99;59,5;2,98;61,52;42,02
O00574;2025-01-19;C0283;Shymkent;Referral;Water Bottle;Sports;2;15,9;4,8;10;2,99;31,8;3,18;31,61;22,01
O00983;2025-01-19;C0241;Shymkent;Paid Search;Wireless Mouse;Electronics;1;24,9;10,5;0;2,99;24,9;0,0;27,89;17,39
O01012;2025-01-19;C0250;Karaganda;Email;Coffee Mug;Home;5;11,9;3,9;15;4,99;59,5;8,93;55,57;36,07
O01081;2025-01-19;C0144;Karaganda;Referral;Laptop Stand;Office;1;34,9;14,0;0;4,99;34,9;0,0;39,89;25,89
O00049;2025-01-20;C0241;Astana;Paid Search;Notebook Set;Office;1;12,5;4,1;10;6,99;12,5;1,25;18,24;14,14
O00252;2025-01-20;C0071;Atyrau;Social Media;Water Bottle;Sports;2;15,9;4,8;5;0;31,8;1,59;30,21;20,61
O00271;2025-01-20;C0005;Shymkent;Referral;Coffee Mug;Home;3;11,9;3,9;0;4,99;35,7;0,0;40,69;28,99
O00493;2025-01-20;C0274;Astana;Social Media;Coffee Mug;Home;1;11,9;3,9;0;0;11,9;0,0;11,9;8,0
O00685;2025-01-20;C0236;Shymkent;Paid Search;Resistance Bands;Sports;2;18,9;6,2;5;0;37,8;1,89;35,91;23,51
O00688;2025-01-20;C0296;Karaganda;Organic;Water Bottle;Sports;3;15,9;4,8;0;4,99;47,7;0,0;52,69;38,29
O00551;2025-01-21;C0350;Shymkent;Email;Laptop Stand;Office;4;34,9;14,0;5;2,99;139,6;6,98;135,61;79,61
O00580;2025-01-21;C0333;Shymkent;Organic;Coffee Mug;Home;1;11,9;3,9;0;0;11,9;0,0;11,9;8,0
O00723;2025-01-21;C0286;Karaganda;Referral;Wireless Mouse;Electronics;3;24,9;10,5;0;6,99;74,7;0,0;81,69;50,19
O00984;2025-01-21;C0227;Shymkent;Referral;Yoga Mat;Sports;1;26,9;9,7;20;6,99;26,9;5,38;28,51;18,81
O00214;2025-01-22;C0162;Shymkent;Referral;Wireless Mouse;Electronics;1;24,9;10,5;0;2,99;24,9;0,0;27,89;17,39
O01069;2025-01-22;C0001;Karaganda;Referral;Laptop Stand;Office;2;34,9;14,0;0;6,99;69,8;0,0;76,79;48,79
O01108;2025-01-23;C0016;Astana;Paid Search;Mechanical Keyboard;Electronics;1;79,9;38,0;0;4,99;79,9;0,0;84,89;46,89
O00308;2025-01-24;C0289;Astana;Paid Search;Desk Lamp;Home;4;29,9;11,8;0;6,99;119,6;0,0;126,59;79,39
O00832;2025-01-24;C0304;Astana;Social Media;Resistance Bands;Sports;1;18,9;6,2;15;2,99;18,9;2,83;19,05;12,86
O01040;2025-01-25;C0334;Almaty;Email;Desk Lamp;Home;1;29,9;11,8;5;0;29,9;1,5;28,4;16,6
O01087;2025-01-25;C0143;Karaganda;Referral;Yoga Mat;Sports;1;26,9;9,7;10;2,99;26,9;2,69;27,2;17,5
O00064;2025-01-26;C0286;Astana;Organic;Mechanical Keyboard;Electronics;3;79,9;38,0;0;6,99;239,7;0,0;246,69;132,69
O00465;2025-01-26;C0244;Shymkent;Social Media;Wireless Mouse;Electronics;1;24,9;10,5;15;2,99;24,9;3,73;24,16;13,66
O00764;2025-01-26;C0067;Almaty;Email;Notebook Set;Office;2;12,5;4,1;0;6,99;25,0;0,0;31,99;23,79
O01011;2025-01-27;C0171;Almaty;Organic;Laptop Stand;Office;1;34,9;14,0;5;6,99;34,9;1,75;40,15;26,15
O00487;2025-01-28;C0325;Aktobe;Referral;Water Bottle;Sports;1;15,9;4,8;15;6,99;15,9;2,38;20,51;15,71
O00537;2025-01-28;C0344;Almaty;Paid Search;Wireless Mouse;Electronics;2;24,9;10,5;0;2,99;49,8;0,0;52,79;31,79
O00801;2025-01-28;C0329;Shymkent;Organic;Yoga Mat;Sports;2;26,9;9,7;0;4,99;53,8;0,0;58,79;39,39
O01091;2025-01-28;C0171;Aktobe;Paid Search;Laptop Stand;Office;1;34,9;14,0;0;4,99;34,9;0,0;39,89;25,89
O00319;2025-01-29;C0327;Almaty;Paid Search;Wireless Mouse;Electronics;1;24,9;10,5;0;6,99;24,9;0,0;31,89;21,39
O00400;2025-01-29;C0256;Aktobe;Paid Search;Water Bottle;Sports;2;15,9;4,8;0;4,99;31,8;0,0;36,79;27,19
O00750;2025-01-29;C0267;Shymkent;Referral;Resistance Bands;Sports;4;18,9;6,2;0;6,99;75,6;0,0;82,59;57,79
O00034;2025-01-30;C0261;Almaty;Paid Search;Wireless Mouse;Electronics;1;24,9;10,5;0;2,99;24,9;0,0;27,89;17,39
O00395;2025-01-30;C0126;Almaty;Email;Mechanical Keyboard;Electronics;1;79,9;38,0;0;2,99;79,9;0,0;82,89;44,89
O00809;2025-01-30;C0305;Atyrau;Paid Search;Notebook Set;Office;1;12,5;4,1;0;0;12,5;0,0;12,5;8,4
O00104;2025-01-31;C0085;Shymkent;Referral;USB-C Cable;Electronics;4;9,9;3,2;10;0;39,6;3,96;35,64;22,84
O00631;2025-01-31;C0111;Shymkent;Email;Water Bottle;Sports;1;15,9;4,8;0;2,99;15,9;0,0;18,89;14,09
O00663;2025-01-31;C0183;Atyrau;Paid Search;Yoga Mat;Sports;1;26,9;9,7;5;0;26,9;1,34;25,55;15,86
O01168;2025-01-31;C0071;Shymkent;Email;Laptop Stand;Office;2;34,9;14,0;10;0;69,8;6,98;62,82;34,82
O00278;2025-02-01;C0342;Almaty;Email;Wireless Mouse;Electronics;1;24,9;10,5;0;2,99;24,9;0,0;27,89;17,39
O00153;2025-02-02;C0244;Karaganda;Social Media;Notebook Set;Office;1;12,5;4,1;10;0;12,5;1,25;11,25;7,15
O00096;2025-02-03;C0206;Karaganda;Organic;Wireless Mouse;Electronics;1;24,9;10,5;15;0;24,9;3,73;21,16;10,66
O01066;2025-02-03;C0248;Almaty;Email;Mechanical Keyboard;Electronics;1;79,9;38,0;0;6,99;79,9;0,0;86,89;48,89
O01083;2025-02-03;C0302;Astana;Organic;Yoga Mat;Sports;1;26,9;9,7;0;2,99;26,9;0,0;29,89;20,19
O01094;2025-02-03;C0053;Atyrau;Organic;Yoga Mat;Sports;1;26,9;9,7;5;6,99;26,9;1,34;32,55;22,85
O01162;2025-02-03;C0337;Shymkent;Referral;Desk Lamp;Home;1;29,9;11,8;0;2,99;29,9;0,0;32,89;21,09
O00703;2025-02-04;C0199;Atyrau;Social Media;Water Bottle;Sports;1;15,9;4,8;0;0;15,9;0,0;15,9;11,1
O00117;2025-02-05;C0142;Karaganda;Social Media;Yoga Mat;Sports;2;26,9;9,7;0;2,99;53,8;0,0;56,79;37,39
O00667;2025-02-05;C0272;Astana;Email;Desk Lamp;Home;1;29,9;11,8;0;2,99;29,9;0,0;32,89;21,09
O00814;2025-02-05;C0252;Astana;Referral;Notebook Set;Office;4;12,5;4,1;0;6,99;50,0;0,0;56,99;40,59
O00915;2025-02-05;C0244;Atyrau;Social Media;Coffee Mug;Home;1;11,9;3,9;15;2,99;11,9;1,78;13,11;9,21
O01173;2025-02-05;C0099;Almaty;Paid Search;USB-C Cable;Electronics;1;9,9;3,2;0;6,99;9,9;0,0;16,89;13,69
O00024;2025-02-06;C0324;Almaty;Paid Search;Water Bottle;Sports;2;15,9;4,8;5;0;31,8;1,59;30,21;20,61
O00174;2025-02-06;C0204;Atyrau;Organic;Resistance Bands;Sports;2;18,9;6,2;5;4,99;37,8;1,89;40,9;28,5
O00991;2025-02-06;C0281;Aktobe;Email;Wireless Mouse;Electronics;3;24,9;10,5;0;0;74,7;0,0;74,7;43,2
O01180;2025-02-06;C0171;Astana;Email;Yoga Mat;Sports;1;26,9;9,7;5;6,99;26,9;1,34;32,55;22,85
O00303;2025-02-07;C0097;Aktobe;Referral;Laptop Stand;Office;1;34,9;14,0;0;0;34,9;0,0;34,9;20,9
O00327;2025-02-07;C0043;Shymkent;Paid Search;Coffee Mug;Home;1;11,9;3,9;5;2,99;11,9;0,59;14,29;10,39
O00556;2025-02-07;C0028;Astana;Social Media;Wireless Mouse;Electronics;1;24,9;10,5;0;0;24,9;0,0;24,9;14,4
O01107;2025-02-07;C0184;Almaty;Referral;USB-C Cable;Electronics;3;9,9;3,2;0;0;29,7;0,0;29,7;20,1
O00123;2025-02-08;C0241;Shymkent;Social Media;Yoga Mat;Sports;1;26,9;9,7;0;2,99;26,9;0,0;29,89;20,19
O00221;2025-02-08;C0344;Atyrau;Email;Water Bottle;Sports;5;15,9;4,8;0;0;79,5;0,0;79,5;55,5
O00411;2025-02-08;C0304;Aktobe;Organic;Water Bottle;Sports;1;15,9;4,8;0;6,99;15,9;0,0;22,89;18,09
O00617;2025-02-08;C0284;Astana;Email;Mechanical Keyboard;Electronics;1;79,9;38,0;10;4,99;79,9;7,99;76,9;38,9
O00184;2025-02-09;C0331;Almaty;Referral;Yoga Mat;Sports;1;26,9;9,7;0;4,99;26,9;0,0;31,89;22,19
O00584;2025-02-09;C0264;Atyrau;Social Media;Resistance Bands;Sports;3;18,9;6,2;0;2,99;56,7;0,0;59,69;41,09
O00904;2025-02-09;C0010;Karaganda;Email;Mechanical Keyboard;Electronics;1;79,9;38,0;10;0;79,9;7,99;71,91;33,91
O00006;2025-02-10;C0283;Shymkent;Referral;Yoga Mat;Sports;2;26,9;9,7;20;6,99;53,8;10,76;50,03;30,63
O00457;2025-02-10;C0203;Atyrau;Organic;Yoga Mat;Sports;2;26,9;9,7;0;4,99;53,8;0,0;58,79;39,39
O00459;2025-02-10;C0350;Karaganda;Paid Search;Laptop Stand;Office;3;34,9;14,0;0;6,99;104,7;0,0;111,69;69,69
O00620;2025-02-10;C0347;Atyrau;Email;Water Bottle;Sports;1;15,9;4,8;10;0;15,9;1,59;14,31;9,51
O00636;2025-02-10;C0083;Shymkent;Paid Search;Water Bottle;Sports;2;15,9;4,8;15;0;31,8;4,77;27,03;17,43
O00238;2025-02-11;C0024;Atyrau;Referral;Desk Lamp;Home;3;29,9;11,8;5;0;89,7;4,48;85,21;49,81
O00490;2025-02-11;C0250;Shymkent;Paid Search;Yoga Mat;Sports;1;26,9;9,7;15;2,99;26,9;4,04;25,85;16,15
O01088;2025-02-11;C0293;Almaty;Paid Search;Yoga Mat;Sports;1;26,9;9,7;0;4,99;26,9;0,0;31,89;22,19
O00913;2025-02-12;C0168;Karaganda;Organic;Yoga Mat;Sports;3;26,9;9,7;10;0;80,7;8,07;72,63;43,53
O00020;2025-02-13;C0249;Almaty;Referral;Laptop Stand;Office;1;34,9;14,0;15;0;34,9;5,24;29,66;15,66
O00455;2025-02-13;C0343;Shymkent;Referral;Wireless Mouse;Electronics;1;24,9;10,5;10;0;24,9;2,49;22,41;11,91
O00589;2025-02-13;C0111;Karaganda;Referral;Wireless Mouse;Electronics;3;24,9;10,5;10;4,99;74,7;7,47;72,22;40,72
O01195;2025-02-13;C0194;Almaty;Social Media;Mechanical Keyboard;Electronics;3;79,9;38,0;0;4,99;239,7;0,0;244,69;130,69
O00460;2025-02-14;C0199;Aktobe;Email;USB-C Cable;Electronics;3;9,9;3,2;0;0;29,7;0,0;29,7;20,1
O00709;2025-02-14;C0196;Aktobe;Referral;Laptop Stand;Office;1;34,9;14,0;15;2,99;34,9;5,24;32,66;18,66
O00810;2025-02-14;C0310;Astana;Email;Water Bottle;Sports;2;15,9;4,8;10;0;31,8;3,18;28,62;19,02
O00851;2025-02-14;C0211;Aktobe;Email;USB-C Cable;Electronics;2;9,9;3,2;5;2,99;19,8;0,99;21,8;15,4
O00645;2025-02-15;C0227;Shymkent;Social Media;Notebook Set;Office;4;12,5;4,1;0;2,99;50,0;0,0;52,99;36,59
O00887;2025-02-15;C0004;Karaganda;Social Media;Resistance Bands;Sports;5;18,9;6,2;0;6,99;94,5;0,0;101,49;70,49
O00968;2025-02-15;C0237;Astana;Social Media;Wireless Mouse;Electronics;4;24,9;10,5;5;2,99;99,6;4,98;97,61;55,61
O00992;2025-02-15;C0011;Astana;Paid Search;Mechanical Keyboard;Electronics;1;79,9;38,0;0;6,99;79,9;0,0;86,89;48,89
O01054;2025-02-15;C0320;Atyrau;Referral;Yoga Mat;Sports;2;26,9;9,7;0;4,99;53,8;0,0;58,79;39,39
O01072;2025-02-15;C0203;Atyrau;Organic;USB-C Cable;Electronics;2;9,9;3,2;5;4,99;19,8;0,99;23,8;17,4
O00415;2025-02-16;C0081;Atyrau;Social Media;Yoga Mat;Sports;1;26,9;9,7;0;0;26,9;0,0;26,9;17,2
O00522;2025-02-16;C0310;Aktobe;Social Media;Wireless Mouse;Electronics;1;24,9;10,5;0;0;24,9;0,0;24,9;14,4
O00610;2025-02-16;C0282;Shymkent;Referral;Water Bottle;Sports;1;15,9;4,8;0;0;15,9;0,0;15,9;11,1
O01080;2025-02-16;C0315;Atyrau;Social Media;Notebook Set;Office;2;12,5;4,1;10;2,99;25,0;2,5;25,49;17,29
O00030;2025-02-17;C0122;Astana;Email;Mechanical Keyboard;Electronics;1;79,9;38,0;20;0;79,9;15,98;63,92;25,92
O00043;2025-02-17;C0325;Karaganda;Social Media;Yoga Mat;Sports;1;26,9;9,7;15;0;26,9;4,04;22,86;13,16
O00511;2025-02-17;C0191;Shymkent;Paid Search;Desk Lamp;Home;1;29,9;11,8;0;4,99;29,9;0,0;34,89;23,09
O01000;2025-02-18;C0238;Atyrau;Referral;Wireless Mouse;Electronics;2;24,9;10,5;5;6,99;49,8;2,49;54,3;33,3
O00804;2025-02-19;C0273;Atyrau;Social Media;Desk Lamp;Home;5;29,9;11,8;10;0;149,5;14,95;134,55;75,55
O00931;2025-02-19;C0220;Shymkent;Social Media;Wireless Mouse;Electronics;3;24,9;10,5;5;6,99;74,7;3,73;77,95;46,45
O01095;2025-02-19;C0317;Karaganda;Paid Search;Resistance Bands;Sports;1;18,9;6,2;15;6,99;18,9;2,83;23,05;16,86
O01197;2025-02-19;C0109;Aktobe;Organic;Wireless Mouse;Electronics;1;24,9;10,5;20;0;24,9;4,98;19,92;9,42
O00122;2025-02-21;C0226;Almaty;Referral;Yoga Mat;Sports;5;26,9;9,7;0;4,99;134,5;0,0;139,49;90,99
O00628;2025-02-21;C0139;Astana;Referral;Notebook Set;Office;1;12,5;4,1;5;2,99;12,5;0,62;14,87;10,77
O00834;2025-02-21;C0324;Aktobe;Email;Yoga Mat;Sports;1;26,9;9,7;5;2,99;26,9;1,34;28,55;18,85
O01200;2025-02-21;C0002;Karaganda;Email;Coffee Mug;Home;2;11,9;3,9;20;4,99;23,8;4,76;24,03;16,23
O00329;2025-02-22;C0068;Almaty;Paid Search;Wireless Mouse;Electronics;4;24,9;10,5;0;4,99;99,6;0,0;104,59;62,59
O00330;2025-02-22;C0014;Almaty;Social Media;Coffee Mug;Home;1;11,9;3,9;5;6,99;11,9;0,59;18,3;14,4
O00382;2025-02-22;C0161;Shymkent;Social Media;Laptop Stand;Office;1;34,9;14,0;10;0;34,9;3,49;31,41;17,41
O00495;2025-02-22;C0197;Aktobe;Referral;Laptop Stand;Office;2;34,9;14,0;0;2,99;69,8;0,0;72,79;44,79
O00513;2025-02-23;C0214;Aktobe;Email;Mechanical Keyboard;Electronics;1;79,9;38,0;10;2,99;79,9;7,99;74,9;36,9
O00462;2025-02-24;C0289;Almaty;Social Media;Coffee Mug;Home;1;11,9;3,9;0;0;11,9;0,0;11,9;8,0
O00678;2025-02-24;C0327;Aktobe;Social Media;Water Bottle;Sports;2;15,9;4,8;0;6,99;31,8;0,0;38,79;29,19
O00141;2025-02-25;C0346;Astana;Email;Notebook Set;Office;2;12,5;4,1;10;4,99;25,0;2,5;27,49;19,29
O00014;2025-02-26;C0079;Atyrau;Paid Search;USB-C Cable;Electronics;2;9,9;3,2;0;0;19,8;0,0;19,8;13,4
O00207;2025-02-26;C0256;Aktobe;Referral;Coffee Mug;Home;2;11,9;3,9;5;0;23,8;1,19;22,61;14,81
O00435;2025-02-26;C0270;Shymkent;Organic;Wireless Mouse;Electronics;1;24,9;10,5;10;2,99;24,9;2,49;25,4;14,9
O00782;2025-02-26;C0145;Almaty;Paid Search;Wireless Mouse;Electronics;1;24,9;10,5;5;4,99;24,9;1,25;28,64;18,14
O00845;2025-02-26;C0167;Astana;Organic;Laptop Stand;Office;2;34,9;14,0;15;2,99;69,8;10,47;62,32;34,32
O00849;2025-02-26;C0239;Karaganda;Email;Wireless Mouse;Electronics;2;24,9;10,5;0;2,99;49,8;0,0;52,79;31,79
O00861;2025-02-26;C0197;Shymkent;Email;Resistance Bands;Sports;4;18,9;6,2;5;0;75,6;3,78;71,82;47,02
O01082;2025-02-26;C0143;Aktobe;Referral;Laptop Stand;Office;1;34,9;14,0;20;6,99;34,9;6,98;34,91;20,91
O00660;2025-02-27;C0121;Atyrau;Email;Laptop Stand;Office;1;34,9;14,0;0;2,99;34,9;0,0;37,89;23,89
O01007;2025-02-27;C0009;Atyrau;Paid Search;Notebook Set;Office;1;12,5;4,1;0;2,99;12,5;0,0;15,49;11,39
O00550;2025-02-28;C0343;Shymkent;Email;Water Bottle;Sports;2;15,9;4,8;20;0;31,8;6,36;25,44;15,84
O00775;2025-02-28;C0304;Aktobe;Email;USB-C Cable;Electronics;2;9,9;3,2;0;6,99;19,8;0,0;26,79;20,39
O00933;2025-02-28;C0173;Astana;Organic;Mechanical Keyboard;Electronics;4;79,9;38,0;0;4,99;319,6;0,0;324,59;172,59
O01001;2025-02-28;C0339;Karaganda;Paid Search;Notebook Set;Office;1;12,5;4,1;5;0;12,5;0,62;11,88;7,78
O01022;2025-02-28;C0317;Astana;Organic;Resistance Bands;Sports;1;18,9;6,2;0;6,99;18,9;0,0;25,89;19,69
O00143;2025-03-01;C0072;Almaty;Organic;Yoga Mat;Sports;4;26,9;9,7;0;6,99;107,6;0,0;114,59;75,79
O00452;2025-03-01;C0158;Karaganda;Email;USB-C Cable;Electronics;2;9,9;3,2;20;6,99;19,8;3,96;22,83;16,43
O00357;2025-03-02;C0123;Shymkent;Organic;Water Bottle;Sports;2;15,9;4,8;5;4,99;31,8;1,59;35,2;25,6
O00925;2025-03-02;C0197;Karaganda;Social Media;Wireless Mouse;Electronics;4;24,9;10,5;0;6,99;99,6;0,0;106,59;64,59
O01048;2025-03-02;C0309;Karaganda;Organic;Wireless Mouse;Electronics;2;24,9;10,5;20;4,99;49,8;9,96;44,83;23,83
O01049;2025-03-02;C0191;Shymkent;Social Media;Mechanical Keyboard;Electronics;1;79,9;38,0;0;2,99;79,9;0,0;82,89;44,89
O01125;2025-03-02;C0037;Shymkent;Organic;Mechanical Keyboard;Electronics;3;79,9;38,0;15;0;239,7;35,96;203,75;89,75
O00414;2025-03-03;C0275;Shymkent;Paid Search;Mechanical Keyboard;Electronics;1;79,9;38,0;0;6,99;79,9;0,0;86,89;48,89
O00458;2025-03-03;C0230;Astana;Paid Search;Resistance Bands;Sports;2;18,9;6,2;5;2,99;37,8;1,89;38,9;26,5
O00993;2025-03-03;C0153;Karaganda;Email;Coffee Mug;Home;3;11,9;3,9;0;2,99;35,7;0,0;38,69;26,99
O00243;2025-03-04;C0137;Karaganda;Paid Search;Resistance Bands;Sports;2;18,9;6,2;0;6,99;37,8;0,0;44,79;32,39
O00421;2025-03-04;C0022;Karaganda;Organic;USB-C Cable;Electronics;1;9,9;3,2;15;4,99;9,9;1,49;13,41;10,21
O00876;2025-03-04;C0013;Karaganda;Email;Desk Lamp;Home;1;29,9;11,8;20;4,99;29,9;5,98;28,91;17,11
